timestamp,symbol,quantity,closing,volume
2019-01-03,FB,15.0,131.74,22717948
2019-01-03,AMZN,1.0,1500.28,6975572
2019-01-04,NFLX,6.0,297.57,19330102
2019-01-04,AAPL,13.0,148.26,58571070
2019-01-07,NFLX,6.0,315.34,18620116
2019-01-07,GOOG,1.0,1068.39,1981874
2019-01-08,NFLX,6.0,320.27,15359180
2019-01-08,AMZN,1.0,1656.58,8881418
2019-01-09,FB,13.0,144.23,22205879
2019-01-09,AAPL,13.0,153.31,45099081
2019-01-10,AAPL,13.0,153.8,35780670
2019-01-10,FB,13.0,144.2,16030504
2019-01-11,NFLX,5.0,337.59,19500429
2019-01-11,AMZN,1.0,1640.56,4686222
2019-01-14,NFLX,6.0,332.94,10499582
2019-01-14,FB,13.0,145.39,20520278
2019-01-15,FB,13.0,148.95,24068822
2019-01-15,MSFT,19.0,105.01,31587616
2019-01-16,AMZN,1.0,1683.78,6366864
2019-01-16,GOOG,1.0,1080.97,1331819
2019-01-17,AAPL,12.0,155.86,29821160
2019-01-17,MSFT,18.0,106.12,28393015
2019-01-18,AAPL,12.0,156.82,33751023
2019-01-18,MSFT,18.0,107.71,37427587
2019-01-22,MSFT,18.0,105.68,32371253
2019-01-22,FB,13.0,147.57,22298694
2019-01-23,MSFT,18.0,106.71,25874294
2019-01-23,FB,13.0,144.3,20098415
2019-01-24,MSFT,18.0,106.2,23164838
2019-01-24,AAPL,13.0,152.7,25441549
2019-01-25,NFLX,5.0,338.05,11166609
2019-01-25,AMZN,1.0,1670.57,4958329
2019-01-28,NFLX,5.0,335.66,8652082
2019-01-28,AAPL,12.0,156.3,26192058
2019-01-29,AAPL,12.0,154.68,41587239
2019-01-29,NFLX,6.0,328.9,7655189
2019-01-30,AAPL,12.0,165.25,61084280
2019-01-30,GOOG,1.0,1089.06,1279822
2019-01-31,AMZN,1.0,1718.73,10909608
2019-01-31,FB,11.0,166.69,77233602
2019-02-01,AMZN,1.0,1626.23,11495576
2019-02-01,GOOG,1.0,1110.75,1453737
2019-02-04,NFLX,5.0,351.34,9051156
2019-02-04,FB,11.0,169.25,20009403
2019-02-05,MSFT,18.0,107.22,27317394
2019-02-05,NFLX,5.0,355.81,9014655
2019-02-06,GOOG,1.0,1115.23,2105289
2019-02-06,FB,11.0,170.49,13260442
2019-02-07,AAPL,11.0,170.94,31672157
2019-02-07,FB,12.0,166.38,17504140
2019-02-08,MSFT,18.0,105.67,21450621
2019-02-08,GOOG,1.0,1095.06,1075769
2019-02-11,NFLX,5.0,345.73,5454203
2019-02-11,FB,12.0,165.79,12788061
2019-02-12,GOOG,1.0,1121.37,1609052
2019-02-12,AMZN,1.0,1638.01,4857466
2019-02-13,NFLX,5.0,351.77,10558130
2019-02-13,AMZN,1,1640,3560254
2019-02-14,AMZN,1.0,1622.65,4119624
2019-02-14,GOOG,1.0,1121.67,946923
2019-02-15,NFLX,5.0,356.87,9227371
2019-02-15,AAPL,11.0,170.42,24607674
2019-02-19,MSFT,18.0,108.17,18021256
2019-02-19,NFLX,5.0,361.92,7396025
2019-02-20,NFLX,5.0,359.91,8094831
2019-02-20,AMZN,1.0,1622.1,3337133
2019-02-21,AAPL,11.0,171.06,17233334
2019-02-21,FB,12.0,160.04,15591508
2019-02-22,MSFT,18.0,110.97,27759729
2019-02-22,AMZN,1.0,1631.56,3096191
2019-02-25,GOOG,1.0,1109.4,1412516
2019-02-25,MSFT,17.0,111.59,23747440
2019-02-26,FB,12.0,164.13,13781929
2019-02-26,AAPL,11.0,174.33,17064293
2019-02-27,MSFT,17.0,112.17,21484815
2019-02-27,GOOG,1.0,1116.05,968338
2019-02-28,AAPL,11.0,173.15,28179879
2019-02-28,GOOG,1.0,1119.92,1534578
2019-03-01,GOOG,1.0,1140.99,1449691
2019-03-01,AMZN,1.0,1671.73,4973911
2019-03-04,GOOG,1.0,1147.8,1445894
2019-03-04,AMZN,1.0,1696.17,6166435
2019-03-05,FB,11.0,171.26,28171301
2019-03-05,AMZN,1.0,1692.43,3677456
2019-03-06,FB,11.0,172.51,21506222
2019-03-06,GOOG,1.0,1157.86,1098918
2019-03-07,NFLX,5.0,352.6,6138065
2019-03-07,AAPL,11.0,172.5,24784034
2019-03-08,AAPL,11.0,172.91,23953271
2019-03-08,MSFT,18.0,110.51,22810908
2019-03-11,FB,11.0,172.07,18882569
2019-03-11,AAPL,11.0,178.9,32006377
2019-03-12,AMZN,1.0,1673.1,3614104
2019-03-12,GOOG,1.0,1193.2,2012909
2019-03-13,GOOG,1.0,1193.32,1435681
2019-03-13,MSFT,17.0,114.5,35509269
2019-03-14,NFLX,5.0,358.82,5270841
2019-03-14,FB,11.0,170.17,18035838
2019-03-15,FB,12.0,165.98,36775807
2019-03-15,MSFT,17.0,115.91,54596811
2019-03-18,AAPL,10.0,188.02,26158171
2019-03-18,AMZN,1.0,1742.15,5425844
2019-03-19,AMZN,1.0,1761.85,6361546
2019-03-19,MSFT,16.0,117.65,37574432
2019-03-20,GOOG,1.0,1223.97,2227005
2019-03-20,AMZN,1.0,1797.27,6264941
2019-03-21,NFLX,5.0,377.87,8538382
2019-03-21,FB,12.0,166.08,16222372
2019-03-22,AAPL,10.0,191.05,42388061
2019-03-22,MSFT,17.0,117.05,33571698
2019-03-25,FB,12.0,166.29,12628252
2019-03-25,GOOG,1,1193,1496776
2019-03-26,FB,11.0,167.68,15429004
2019-03-26,NFLX,5.0,359.97,7666475
2019-03-27,FB,12.0,165.87,10607540
2019-03-27,AMZN,1.0,1765.7,4324363
2019-03-28,AAPL,10.0,188.72,20721780
2019-03-28,MSFT,17.0,116.93,18333755
2019-03-29,FB,11.0,166.69,13451121
2019-03-29,AMZN,1.0,1780.75,3320539
2019-04-01,FB,11.0,168.7,10377208
2019-04-01,AAPL,10.0,191.24,27853222
2019-04-02,NFLX,5.0,367.72,5158041
2019-04-02,GOOG,1.0,1200.49,825000
2019-04-03,FB,11.0,173.54,27590058
